,metaphysics_and_ontology,existentialism_and_absurdism,epistemology,ethics_and_moral_philosophy,political_and_social_philosophy,philosophy_of_mind,religious_and_theological_philosophy,philosophy_of_time,philosophy_of_science,cultural_and_social_philosophy
2020072200,4134,5231,5082,5796,29118,4894,2338,,2710,2431
2020072300,3947,4918,4795,5832,29529,4809,2478,,2957,2375
2020072400,3794,4915,4845,5660,28329,4476,2659,,2565,2203
2020072500,4382,4775,4717,5637,28516,4271,2701,,2235,2185
2020072600,4941,5655,5330,6682,30332,4665,2912,,2506,2483
2020072700,4322,5265,4994,6894,30129,4924,2478,,2811,2333
2020072800,4207,4972,4981,6533,30736,5265,2429,,2703,2228
2020072900,4345,4950,5029,6412,31910,5002,2873,,2666,2466
2020073000,3893,4812,5250,6329,28719,4686,2372,,3098,2387
2020073100,3716,4461,4887,5618,26516,4488,2256,,2282,2300
2020080100,3703,4509,4383,5441,25191,4250,2138,,2105,2217
2020080200,4685,4699,4885,6106,26240,4465,2425,,2403,2249
2020080300,4007,4494,4658,5855,26650,4750,2374,,2475,2231
2020080400,3998,4669,4612,6244,26932,4650,2224,,2599,2114
2020080500,3781,4514,4801,5924,27205,4901,2454,,2419,2258
2020080600,3808,4745,4780,6074,27640,4615,2523,,2439,2210
2020080700,3548,4591,4457,5504,25533,4543,2376,,2431,2398
2020080800,4249,4520,4531,5399,24841,4636,2162,,2238,1978
2020080900,4429,4873,4794,5589,25494,4662,2474,,2208,2115
2020081000,4019,4996,5069,5897,26740,4736,2342,,2494,2259
2020081100,3959,4929,4958,5652,26817,4999,2418,,2543,2175
2020081200,4417,5700,4629,6351,29350,4836,2449,,2592,2334
2020081300,4202,5266,4692,6266,28376,4888,2391,,2661,2364
2020081400,3752,4680,4880,6122,27849,4689,2113,,2584,2619
2020081500,3923,4390,4593,5687,24403,4568,2126,,2222,2147
2020081600,4091,4805,5055,6198,27286,4746,2494,,2332,2431
2020081700,3678,4909,4810,7787,27285,5158,2419,,2722,4392
2020081800,3986,4651,4715,6343,32051,5031,2238,,2702,3164
2020081900,3978,4835,4836,6255,29968,4901,2433,,2755,2936
2020082000,3766,4786,4871,5751,29243,4851,2413,,2644,2816
2020082100,3895,5227,4843,5809,28855,4817,2471,,2612,2568
2020082200,3781,4605,4825,6195,24771,5013,2185,,2577,2464
2020082300,4319,4931,5289,7369,28091,4843,2383,,2539,2787
2020082400,4156,5240,5041,6286,29048,5780,2413,,2894,3226
2020082500,4510,5168,5277,6324,33986,6482,2346,,2937,2737
2020082600,4784,4916,5380,6182,31937,5633,2468,,3182,2709
2020082700,4315,5051,5661,6401,33028,5952,2325,,3536,2858
2020082800,4036,5063,5473,6454,34720,5434,2273,,3436,2745
2020082900,4181,4750,5378,6095,31122,4913,2338,,2992,2376
2020083000,4317,4913,5116,5966,29455,4978,2527,,2675,2548
2020083100,3861,4992,5351,5871,31222,5342,2297,,3341,3750
2020090100,4031,5040,5265,5912,30017,5581,2189,,3360,3281
2020090200,4101,4890,5283,7670,31542,5785,2238,,3351,2955
2020090300,4146,4856,5627,6465,31320,5604,2261,,3459,2997
2020090400,3804,4660,5117,5809,28667,5154,2109,,3219,2776
2020090500,3571,4372,4941,5475,25903,5274,2163,,3074,2344
2020090600,3671,4754,5503,6419,27608,5194,2369,,3123,2505
2020090700,4002,5175,5499,7232,28541,5645,2475,,3466,2920
2020090800,4404,5283,5554,7171,28915,5933,2332,,3563,2882
2020090900,4076,5171,5675,7418,29733,6251,2272,,3697,2947
2020091000,4437,5309,5688,7076,29782,6104,2284,,3796,2860
2020091100,4217,4957,5232,7671,29358,5889,2338,,3311,2881
2020091200,3859,4759,5000,6802,25811,5071,2103,,2919,2439
2020091300,3949,5119,5757,7046,28340,5705,2466,,3339,2745
2020091400,4540,5414,6046,7358,30866,6582,2466,,3977,3230
2020091500,4275,5230,5787,6949,34808,6130,2527,,3783,3177
2020091600,4294,5389,6087,6937,37824,6169,2371,,3892,3127
2020091700,4417,5449,5983,7321,32970,6261,2397,,4048,3287
2020091800,4156,5042,5558,6876,31439,5913,2262,,3550,2920
2020091900,3746,4542,5041,5977,27717,5234,2274,,3133,2793
2020092000,4160,4855,5327,6399,26000,5685,2434,,3154,2902
2020092100,4703,5695,5883,7307,31571,6600,2533,,4062,3262
2020092200,4466,5959,5836,7048,31773,6867,2476,,4131,3271
2020092300,4510,5694,5708,7185,31898,6502,2449,,4522,3315
2020092400,4354,5819,5615,7202,33241,6498,2355,,3995,3111
2020092500,4086,5224,5538,6857,31370,6030,2358,,3443,2898
2020092600,3876,4575,5124,6043,27634,5597,2211,,3260,2533
2020092700,4065,4880,5238,6389,29061,5728,2582,,3337,2783
2020092800,4106,5559,5820,7480,34265,7084,2801,,3957,3295
2020092900,4098,5637,5672,7308,31822,6891,2643,,3984,3297
2020093000,4018,5329,5537,6763,46852,6519,2354,,3783,3137
2020100100,4283,5027,5323,6772,39003,6146,2452,,3688,3004
2020100200,4137,4760,5366,6596,31295,5456,2294,,3343,2792
2020100300,4495,4848,4909,5882,26866,5049,2135,,3068,2418
2020100400,4112,5304,5247,6541,27979,5544,2498,,3337,2849
2020100500,4936,6048,6537,7203,31057,6630,2755,,4493,3337
2020100600,4774,6056,6110,7337,31859,6701,2571,,4235,3334
2020100700,4724,6156,6377,7736,32330,6528,2655,,4297,3637
2020100800,4844,6541,6388,7436,35635,6395,5359,,4059,3271
2020100900,4139,5609,5714,7057,33801,6104,3022,,3425,2950
2020101000,3985,5494,10466,6238,29563,5524,2665,,3293,2683
2020101100,4039,6019,6727,7041,31138,5603,2794,,3243,2849
2020101200,4472,6565,6942,7982,33164,6536,2895,,4431,3327
2020101300,4465,5825,6765,7973,33250,6338,2753,,4329,3411
2020101400,4765,5932,6265,7851,34529,6586,2718,,4161,3151
2020101500,4481,5878,6561,7709,34121,6517,2610,,4346,3116
2020101600,4333,5587,5799,7210,32458,6314,2282,,3692,3092
2020101700,4003,5473,5517,6513,33892,5472,2414,,3132,2862
2020101800,4089,5643,6064,7074,30583,5948,2641,,3245,3004
2020101900,4535,6232,6564,8253,39874,6742,2764,,4104,3743
2020102000,4628,6467,6469,7607,33917,6731,2489,,4269,3547
2020102100,4583,6013,6069,7470,37475,6293,2617,,3963,3418
2020102200,4679,6257,6279,7534,34973,6402,2497,,4054,3068
2020102300,4242,5484,5673,6956,33844,6289,2452,,3207,2846
2020102400,3907,17876,6081,6747,28584,20205,2373,,3281,2605
2020102500,4080,5296,6500,6972,28979,5840,2801,,3355,3202
2020102600,4663,6170,6429,7406,36017,6625,2479,,4112,3308
2020102700,4777,6286,6382,7680,36487,6694,2687,,4336,3235
2020102800,4506,6268,6221,7639,38254,6790,2559,,4071,3323
2020102900,4512,5959,6215,7731,36335,6252,2596,,3756,3393
2020103000,4105,5370,5923,7409,33738,6048,2605,,3540,2981
2020103100,3786,4697,4962,6676,28769,4866,2167,,2841,2464
2020110100,3958,5074,5516,7012,31864,5463,2301,,3112,2805
2020110200,4505,6044,6441,8611,46715,6808,2500,,4047,3444
2020110300,4324,5671,6012,7612,58342,6019,2502,,3817,3373
2020110400,3735,4904,5332,6324,86937,5736,2109,,3229,2874
2020110500,4080,5409,5440,6824,69359,6264,2674,,3364,3098
2020110600,4363,5389,5478,6821,55884,5643,2570,,3244,2802
2020110700,3456,5375,4871,6170,55923,4954,2406,,2700,2743
2020110800,3793,5234,5651,6619,57365,5779,3265,,3199,3658
2020110900,4114,6219,6802,7523,48993,6972,2658,,4133,3386
2020111000,4314,6164,5671,7466,42991,6281,2863,,3571,3572
2020111100,4161,5942,5719,7336,38091,6081,2680,,3630,3546
2020111200,4129,5856,5483,6923,38128,5964,2663,,3285,3258
2020111300,3859,5930,5235,6712,36226,5678,2476,,3164,2957
2020111400,3476,5511,4897,6077,33959,4998,2218,,3096,2495
2020111500,3963,6839,5460,6645,35253,5543,2583,,3218,2772
2020111600,4328,6743,5661,7493,36256,6183,2483,,3534,3372
2020111700,4677,6457,5873,7421,34925,6091,2470,,3821,3341
2020111800,4585,6319,5893,7447,35173,6171,2539,,3516,3387
2020111900,4433,6104,5537,7185,34320,5981,2543,,3550,3134
2020112000,4030,5717,5593,7079,31315,5939,2434,,3110,3126
2020112100,3767,5163,4998,6493,28375,5365,2296,,2902,2555
2020112200,4196,5722,5743,7449,29169,5612,2667,,3046,2927
2020112300,4338,5902,5826,7675,37109,6591,2457,,3555,3019
2020112400,4166,6024,5834,7374,31381,5976,2346,,3602,3072
2020112500,4227,5882,5619,6924,30412,6176,2492,,3367,3042
2020112600,3961,5424,5520,6413,28463,5520,2534,,3402,2891
2020112700,3886,5074,4745,6978,26039,5212,3793,,2990,2663
2020112800,3766,5115,4939,6247,25293,5293,2413,,2735,2730
2020112900,4073,5434,5300,6556,25931,5358,2662,,2754,2709
2020113000,4487,5999,5532,7362,27836,6440,2405,,3247,3075
2020120100,4377,5684,5336,7771,28533,6110,2282,,3376,3533
2020120200,4467,5587,5472,7355,26748,5873,2324,,3426,3005
2020120300,4401,5562,5469,7406,27097,6036,2230,,3332,3137
2020120400,4185,5384,5169,6814,25248,5654,2276,,3127,2927
2020120500,3769,5308,5040,6408,23670,5383,2468,,2688,2862
2020120600,4184,5908,5205,7059,24909,5657,2535,,3007,2580
2020120700,4547,6367,5815,7699,28169,6108,2373,,3640,3277
2020120800,4279,6045,5589,7580,26823,6066,2280,,3514,2931
2020120900,4207,6295,5562,7402,26435,6161,2299,,3618,3518
2020121000,4373,6049,5472,7310,25501,6461,2220,,3373,3177
2020121100,4031,5597,5058,7142,24343,5819,2170,,3086,2748
2020121200,3579,5012,4763,6605,25594,5116,2136,,2788,2504
2020121300,3957,5182,5138,6512,23393,5659,2559,,2875,2511
2020121400,4223,6104,5981,7355,25604,6224,2496,,3500,2966
2020121500,4138,5957,5650,7291,26920,5998,2151,,3340,2953
2020121600,4258,5621,5694,7375,28047,6243,2418,,3550,2969
2020121700,4153,5637,5507,6658,25818,5962,2267,,3345,2811
2020121800,3749,5272,5197,6177,23561,5331,2287,,3314,2611
2020121900,3631,5271,5080,6230,25280,5112,2352,,2891,2454
2020122000,3885,5229,5014,6243,21743,4932,2311,,2809,2304
2020122100,3853,4887,5064,5929,22454,4952,2141,,3214,2369
2020122200,3683,5395,4996,6108,22289,4841,2020,,2846,2318
2020122300,3724,5010,4876,5401,21382,4701,2004,,2482,2302
2020122400,3582,4244,5163,4842,18988,4159,2063,,2118,2293
2020122500,3395,4048,4918,4590,17902,3852,2275,,1766,2945
2020122600,3777,4905,5508,5322,18823,4433,2340,,2304,2136
2020122700,4078,5629,5549,6114,20628,4989,2393,,2501,2392
2020122800,3983,5382,5412,6354,21585,5076,2511,,2601,2369
2020122900,4112,5352,5116,6941,23676,5176,2400,,2567,2379
2020123000,3687,5414,5056,6347,22388,5242,2317,,2624,2346
2020123100,3447,4791,4349,5400,19927,4511,2008,,1984,2056
2021010100,3740,4815,4624,5579,22401,4318,2129,,2050,1908
